actmed,latitude,longitude,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore
24.5,-22.9068467,-43.1728965,1,0,0,0,0,0,0,1,0
24.5,-23.5505199,-46.63330939999999,1,0,0,0,1,0,0,0,0
24.5,35.59421370000001,-105.2227978,0,0,0,1,0,0,0,0,1
24.5,59.60990049999999,16.5448092,0,0,0,1,0,0,0,0,1
24.5,52.27299439999999,-0.8755514999999999,0,1,0,0,0,1,0,0,0
24.5,18.4860575,-69.93121169999999,1,0,0,0,1,0,0,0,0
24.5,49.99286170000001,8.2472526,0,0,0,1,1,0,0,0,0
24.5,30.09716210000001,-95.6160549,1,0,0,0,0,0,0,0,1
24.5,30.6953657,-88.0398912,0,0,0,1,0,0,0,1,0
24.5,33.3392842,-84.6485417,1,0,0,0,0,1,0,0,0
24.5,33.4487183,-86.7877668,0,0,0,1,0,1,0,0,0
24.5,51.31475930000001,-0.5599501,1,0,0,0,0,1,0,0,0
24.5,30.1658207,-95.4612625,0,0,0,1,0,0,0,0,1
24.5,29.889688,-81.6406427,0,0,0,1,1,0,0,0,0
24.5,-33.4488897,-70.66926550000002,0,0,1,0,1,0,0,0,0
24.5,31.3151708,-85.85521609999998,0,0,1,0,0,0,0,0,1
24.5,33.9481537,-86.472764,0,0,1,0,0,0,0,1,0
23.5,30.6953657,-88.0398912,0,0,1,0,0,0,0,1,0
23.5,59.41358100000001,5.267986899999999,1,0,0,0,1,0,0,0,0
23.5,48.56459419999999,12.1660056,1,0,0,0,0,0,0,0,1
23.5,41.669674,0.554149,1,0,0,0,1,0,0,0,0
23.5,50.60521840000001,7.6815031,1,0,0,0,0,0,0,0,1
23.5,38.7222524,-9.1393366,0,0,0,1,1,0,0,0,0
23.5,51.3387609,6.5853417,0,1,0,0,0,0,0,1,0
23.5,45.439695,4.3871779,0,0,0,1,0,0,0,0,1
23.5,38.6967571,-9.4207438,0,1,0,0,0,0,0,0,1
23.5,46.9172619,7.4437906000000025,0,0,0,1,0,1,0,0,0
23.5,40.6301025,-74.4273743,1,0,0,0,0,1,0,0,0
23.5,38.7133152,-9.3936558,0,0,0,1,0,0,0,0,1
23.5,45.0703393,7.686864,0,0,1,0,0,0,0,0,1
23.5,41.90278350000001,12.4963655,1,0,0,0,0,1,0,0,0
23.5,37.9838096,23.7275388,0,0,0,1,0,0,0,0,1
23.5,29.95106579999999,-90.0715323,0,1,0,0,0,0,0,1,0
23.5,43.296482,5.36978,0,1,0,0,0,1,0,0,0
23.5,9.5503646,-69.1804708,0,0,0,1,1,0,0,0,0
23.5,63.4305149,10.3950528,0,1,0,0,1,0,0,0,0
23.5,49.31623610000001,8.389363000000001,0,0,0,1,0,1,0,0,0
23.5,43.4516395,-80.49253370000002,0,0,0,1,0,1,0,0,0
23.5,48.856614,2.3522218999999995,0,1,0,0,0,0,0,0,1
23.5,59.60990049999999,16.5448092,0,0,0,1,0,0,0,0,1
23.5,40.8567662,-74.12847640000003,0,0,0,1,0,0,0,0,1
23.5,36.0331164,-86.78277720000001,0,0,0,1,0,0,0,1,0
23.5,48.3311761,16.212963199999994,1,0,0,0,0,0,0,1,0
23.5,29.95106579999999,-90.0715323,0,0,0,1,0,0,0,0,1
23.5,32.7766642,-96.7969879,1,0,0,0,0,0,0,0,1
23.5,48.3220818,15.8137441,0,0,1,0,0,0,0,0,1
23.5,64.5176895,11.3364042,0,0,1,0,0,1,0,0,0
18.5,33.62923370000001,-112.3679279,0,0,1,0,0,0,0,1,0
18.5,33.4483771,-112.0740373,1,0,0,0,0,0,0,1,0
18.5,33.4151843,-111.8314724,0,0,0,1,0,0,0,1,0
18.5,32.2226066,-110.9747108,0,0,0,1,0,0,0,1,0
