,0,1,2
138,Whitman College,Whitman College,0.0
139,West Virginia University,West Virginia University,0.0
140,Lasell College,Lasell College,0.0
141,Robert Morris University,Robert Morris University,0.0
142,Purdue University-Calumet Campus,Purdue University-Main Campus,0.1875
143,CUNY Queens College,CUNY Queens College,0.0
144,The University of Texas at Dallas,The University of Texas at Dallas,0.0
145,CUNY New York City College of Technology,CUNY New York City College of Technology,0.0
146,Houston Baptist University,Houston Baptist University,0.0
147,Hartwick College,Hartwick College,0.0
148,Furman University,Furman University,0.0
149,Wentworth Institute of Technology,Wentworth Institute of Technology,0.0
150,Indiana University-Kokomo,Indiana University-Kokomo,0.0
151,Worcester Polytechnic Institute,Worcester Polytechnic Institute,0.0
152,Millersville University of Pennsylvania,Millersville University of Pennsylvania,0.0
153,Washington College,Washington College,0.0
154,The Evergreen State College,The Evergreen State College,0.0
155,West Virginia Wesleyan College,West Virginia Wesleyan College,0.0
156,Ohio Northern University,Ohio Northern University,0.0
157,American University,American University,0.0
158,Notre Dame College,Notre Dame College,0.0
159,Norwich University,Norwich University,0.0
160,University of Wisconsin-Whitewater,University of Wisconsin-Whitewater,0.0
161,Palm Beach Atlantic University,Palm Beach Atlantic University,0.0
162,Davidson College,Davidson College,0.0
163,SUNY College at Geneseo,SUNY College at Geneseo,0.0
164,The College of Saint Rose,The College of Saint Rose,0.0
165,James Madison University,James Madison University,0.0
166,University of Mount Union,University of Mount Union,0.0
167,Washington College,Washington College,0.0
168,Hofstra University,Hofstra University,0.0
169,Hawaii Pacific University,Hawaii Pacific University,0.0
170,Huntingdon College,Huntingdon College,0.0
171,Rider University,Rider University,0.0
172,St Andrews University,St. Andrews University,0.045454545454545456
173,Valparaiso University,Valparaiso University,0.0
174,Hamilton College,Hamilton College,0.0
175,Queens University of Charlotte,Queens University of Charlotte,0.0
176,Georgia State University,Georgia State University,0.0
177,Crown College,Crown College,0.0
178,University of Minnesota-Morris,University of Minnesota-Morris,0.0
179,Milligan College,Milligan College,0.0
180,University of California-Santa Barbara,University of California-Santa Barbara,0.0
181,University of San Francisco,University of San Francisco,0.0
182,Carleton College,Carleton College,0.0
183,Greensboro College,Greensboro College,0.0
184,The University of Texas at Tyler,The University of Texas at Tyler,0.0
185,Neumann University,Neumann University,0.0
186,Grinnell College,Grinnell College,0.0
187,Rockford University,Rockford University,0.0
188,Saint Francis University,Saint Francis University,0.0
189,Trine University,Trine University,0.0
190,Willamette University,Willamette University,0.0
191,St Mary's University,St. Mary's University,0.047619047619047616
192,Fort Lewis College,Fort Lewis College,0.0
193,Edward Waters College,Edward Waters College,0.0
194,Southern Virginia University,Southern Virginia University,0.0
195,Roanoke College,Roanoke College,0.0
196,Wingate University,Wingate University,0.0
197,Adams State University,Adams State University,0.0
198,Harvard University,Harvard University,0.0
199,Eastern University,Eastern University,0.0
200,Ohio Dominican University,Ohio Dominican University,0.0
201,Susquehanna University,Susquehanna University,0.0
202,Bryan College-Dayton,Bryan College-Dayton,0.0
203,Providence College,Providence College,0.0
204,Hendrix College,Hendrix College,0.0
205,Central College,Central College,0.0
206,Haverford College,Haverford College,0.0
207,Berry College,Berry College,0.0
208,Maine Maritime Academy,Maine Maritime Academy,0.0
209,Florida Southern College,Florida Southern College,0.0
210,University of Notre Dame,University of Notre Dame,0.0
211,Messiah College,Messiah College,0.0
212,University of Nebraska at Omaha,University of Nebraska at Omaha,0.0
213,Williams College,Williams College,0.0
214,Carnegie Mellon University,Carnegie Mellon University,0.0
215,Christopher Newport University,Christopher Newport University,0.0
216,Johnson & Wales University-Providence,Johnson & Wales University-Providence,0.0
217,Northern Kentucky University,Northern Kentucky University,0.0
218,Springfield College,Springfield College,0.0
219,University of Hartford,University of Hartford,0.0
220,Centre College,Centre College,0.0
221,Holy Cross College,Holy Cross College,0.0
222,Loyola University Chicago,Loyola University Chicago,0.0
223,Brown University,Brown University,0.0
224,Brevard College,Brevard College,0.0
225,Georgetown University,Georgetown University,0.0
226,Clayton  State University,Clayton  State University,0.0
227,Pennsylvania State University-Penn State Shenango,Pennsylvania State University-Penn State Shenango,0.0
228,California State University-Bakersfield,California State University-Bakersfield,0.0
229,Middlebury College,Middlebury College,0.0
230,SUNY at Fredonia,SUNY at Fredonia,0.0
231,Mercy College,Mercy College,0.0
232,California State University-Dominguez Hills,California State University-Dominguez Hills,0.0
233,Eastern New Mexico University-Main Campus,Eastern New Mexico University-Main Campus,0.0
234,Pennsylvania State University-Penn State Shenango,Pennsylvania State University-Penn State Shenango,0.0
235,Eastern Illinois University,Eastern Illinois University,0.0
236,Allegheny College,Allegheny College,0.0
237,Mars Hill University,Mars Hill University,0.0
238,Piedmont College,Piedmont College,0.0
